len_scale_space,len_scale_time,len_scale_space_bias,len_scale_time_bias,penalty,penalty_bias,time_metric,seed,stage,mse
0.5,2,0.5,1,0.0498,0.0498,1,1234,1,0
2,1,2,2,0.0498,0.0498,1,1234,1,0
1,1,2,2,0.0498,0.0498,1,1234,1,0
0.5,1,2,2,0.0498,0.0498,1,1234,1,0
2,2,2,2,0.0498,0.0498,1,1234,1,0
1,2,2,2,0.0498,0.0498,1,1234,1,0
0.5,2,2,2,0.0498,0.0498,1,1234,1,0
2,1,1,2,0.0498,0.0498,1,1234,1,0
1,1,1,2,0.0498,0.0498,1,1234,1,0
0.5,1,1,2,0.0498,0.0498,1,1234,1,0
2,2,1,2,0.0498,0.0498,1,1234,1,0
1,2,1,2,0.0498,0.0498,1,1234,1,0
0.5,2,1,2,0.0498,0.0498,1,1234,1,0
2,1,0.5,2,0.0498,0.0498,1,1234,1,0
1,1,0.5,2,0.0498,0.0498,1,1234,1,0
0.5,1,0.5,2,0.0498,0.0498,1,1234,1,0
2,2,0.5,2,0.0498,0.0498,1,1234,1,0
1,2,0.5,2,0.0498,0.0498,1,1234,1,0
0.5,2,0.5,2,0.0498,0.0498,1,1234,1,0
2,1,2,1,0.0183,0.0498,1,1234,1,0
1,1,2,1,0.0183,0.0498,1,1234,1,0
0.5,1,2,1,0.0183,0.0498,1,1234,1,0
2,2,2,1,0.0183,0.0498,1,1234,1,0
1,2,2,1,0.0183,0.0498,1,1234,1,0
0.5,2,2,1,0.0183,0.0498,1,1234,1,0
2,1,1,1,0.0183,0.0498,1,1234,1,0
1,1,1,1,0.0183,0.0498,1,1234,1,0
0.5,1,1,1,0.0183,0.0498,1,1234,1,0
2,2,1,1,0.0183,0.0498,1,1234,1,0
1,2,1,1,0.0183,0.0498,1,1234,1,0
0.5,2,1,1,0.0183,0.0498,1,1234,1,0
2,1,0.5,1,0.0183,0.0498,1,1234,1,0
1,1,0.5,1,0.0183,0.0498,1,1234,1,0
0.5,1,0.5,1,0.0183,0.0498,1,1234,1,0
2,2,0.5,1,0.0183,0.0498,1,1234,1,0
1,2,0.5,1,0.0183,0.0498,1,1234,1,0
0.5,2,0.5,1,0.0183,0.0498,1,1234,1,0
2,1,2,2,0.0183,0.0498,1,1234,1,0
1,1,2,2,0.0183,0.0498,1,1234,1,0
0.5,1,2,2,0.0183,0.0498,1,1234,1,0
2,2,2,2,0.0183,0.0498,1,1234,1,0
1,2,2,2,0.0183,0.0498,1,1234,1,0
0.5,2,2,2,0.0183,0.0498,1,1234,1,0
2,1,1,2,0.0183,0.0498,1,1234,1,0
1,1,1,2,0.0183,0.0498,1,1234,1,0
0.5,1,1,2,0.0183,0.0498,1,1234,1,0
2,2,1,2,0.0183,0.0498,1,1234,1,0
1,2,1,2,0.0183,0.0498,1,1234,1,0
0.5,2,1,2,0.0183,0.0498,1,1234,1,0
2,1,0.5,2,0.0183,0.0498,1,1234,1,0
1,1,0.5,2,0.0183,0.0498,1,1234,1,0
0.5,1,0.5,2,0.0183,0.0498,1,1234,1,0
2,2,0.5,2,0.0183,0.0498,1,1234,1,0
1,2,0.5,2,0.0183,0.0498,1,1234,1,0
0.5,2,0.5,2,0.0183,0.0498,1,1234,1,0
2,1,2,1,0.3679,0.0183,1,1234,1,0
1,1,2,1,0.3679,0.0183,1,1234,1,0
0.5,1,2,1,0.3679,0.0183,1,1234,1,0
2,2,2,1,0.3679,0.0183,1,1234,1,0
1,2,2,1,0.3679,0.0183,1,1234,1,0
0.5,2,2,1,0.3679,0.0183,1,1234,1,0
2,1,1,1,0.3679,0.0183,1,1234,1,0
1,1,1,1,0.3679,0.0183,1,1234,1,0
0.5,1,1,1,0.3679,0.0183,1,1234,1,0
2,2,1,1,0.3679,0.0183,1,1234,1,0
1,2,1,1,0.3679,0.0183,1,1234,1,0
0.5,2,1,1,0.3679,0.0183,1,1234,1,0
2,1,0.5,1,0.3679,0.0183,1,1234,1,0
1,1,0.5,1,0.3679,0.0183,1,1234,1,0
0.5,1,0.5,1,0.3679,0.0183,1,1234,1,0
2,2,0.5,1,0.3679,0.0183,1,1234,1,0
1,2,0.5,1,0.3679,0.0183,1,1234,1,0
0.5,2,0.5,1,0.3679,0.0183,1,1234,1,0
2,1,2,2,0.3679,0.0183,1,1234,1,0
1,1,2,2,0.3679,0.0183,1,1234,1,0
0.5,1,2,2,0.3679,0.0183,1,1234,1,0
2,2,2,2,0.3679,0.0183,1,1234,1,0
1,2,2,2,0.3679,0.0183,1,1234,1,0
0.5,2,2,2,0.3679,0.0183,1,1234,1,0
2,1,1,2,0.3679,0.0183,1,1234,1,0
1,1,1,2,0.3679,0.0183,1,1234,1,0
0.5,1,1,2,0.3679,0.0183,1,1234,1,0
2,2,1,2,0.3679,0.0183,1,1234,1,0
1,2,1,2,0.3679,0.0183,1,1234,1,0
0.5,2,1,2,0.3679,0.0183,1,1234,1,0
2,1,0.5,2,0.3679,0.0183,1,1234,1,0
1,1,0.5,2,0.3679,0.0183,1,1234,1,0
0.5,1,0.5,2,0.3679,0.0183,1,1234,1,0
2,2,0.5,2,0.3679,0.0183,1,1234,1,0
1,2,0.5,2,0.3679,0.0183,1,1234,1,0
0.5,2,0.5,2,0.3679,0.0183,1,1234,1,0
2,1,2,1,0.0498,0.0183,1,1234,1,0
1,1,2,1,0.0498,0.0183,1,1234,1,0
0.5,1,2,1,0.0498,0.0183,1,1234,1,0
2,2,2,1,0.0498,0.0183,1,1234,1,0
1,2,2,1,0.0498,0.0183,1,1234,1,0
0.5,2,2,1,0.0498,0.0183,1,1234,1,0
2,1,1,1,0.0498,0.0183,1,1234,1,0
1,1,1,1,0.0498,0.0183,1,1234,1,0
0.5,1,1,1,0.0498,0.0183,1,1234,1,0
2,2,1,1,0.0498,0.0183,1,1234,1,0
1,2,1,1,0.0498,0.0183,1,1234,1,0
0.5,2,1,1,0.0498,0.0183,1,1234,1,0
2,1,0.5,1,0.0498,0.0183,1,1234,1,0
1,1,0.5,1,0.0498,0.0183,1,1234,1,0
0.5,1,0.5,1,0.0498,0.0183,1,1234,1,0
2,2,0.5,1,0.0498,0.0183,1,1234,1,0
1,2,0.5,1,0.0498,0.0183,1,1234,1,0
0.5,2,0.5,1,0.0498,0.0183,1,1234,1,0
2,1,2,2,0.0498,0.0183,1,1234,1,0
1,1,2,2,0.0498,0.0183,1,1234,1,0
0.5,1,2,2,0.0498,0.0183,1,1234,1,0
2,2,2,2,0.0498,0.0183,1,1234,1,0
1,2,2,2,0.0498,0.0183,1,1234,1,0
0.5,2,2,2,0.0498,0.0183,1,1234,1,0
2,1,1,2,0.0498,0.0183,1,1234,1,0
1,1,1,2,0.0498,0.0183,1,1234,1,0
0.5,1,1,2,0.0498,0.0183,1,1234,1,0
2,2,1,2,0.0498,0.0183,1,1234,1,0
1,2,1,2,0.0498,0.0183,1,1234,1,0
0.5,2,1,2,0.0498,0.0183,1,1234,1,0
2,1,0.5,2,0.0498,0.0183,1,1234,1,0
1,1,0.5,2,0.0498,0.0183,1,1234,1,0
0.5,1,0.5,2,0.0498,0.0183,1,1234,1,0
2,2,0.5,2,0.0498,0.0183,1,1234,1,0
1,2,0.5,2,0.0498,0.0183,1,1234,1,0
0.5,2,0.5,2,0.0498,0.0183,1,1234,1,0
2,1,2,1,0.0183,0.0183,1,1234,1,0
1,1,2,1,0.0183,0.0183,1,1234,1,0
0.5,1,2,1,0.0183,0.0183,1,1234,1,0
2,2,2,1,0.0183,0.0183,1,1234,1,0
1,2,2,1,0.0183,0.0183,1,1234,1,0
0.5,2,2,1,0.0183,0.0183,1,1234,1,0
2,1,1,1,0.0183,0.0183,1,1234,1,0
1,1,1,1,0.0183,0.0183,1,1234,1,0
0.5,1,1,1,0.0183,0.0183,1,1234,1,0
2,2,1,1,0.0183,0.0183,1,1234,1,0
1,2,1,1,0.0183,0.0183,1,1234,1,0
0.5,2,1,1,0.0183,0.0183,1,1234,1,0
2,1,0.5,1,0.0183,0.0183,1,1234,1,0
1,1,0.5,1,0.0183,0.0183,1,1234,1,0
0.5,1,0.5,1,0.0183,0.0183,1,1234,1,0
2,2,0.5,1,0.0183,0.0183,1,1234,1,0
1,2,0.5,1,0.0183,0.0183,1,1234,1,0
0.5,2,0.5,1,0.0183,0.0183,1,1234,1,0
2,1,2,2,0.0183,0.0183,1,1234,1,0
1,1,2,2,0.0183,0.0183,1,1234,1,0
0.5,1,2,2,0.0183,0.0183,1,1234,1,0
2,2,2,2,0.0183,0.0183,1,1234,1,0
1,2,2,2,0.0183,0.0183,1,1234,1,0
0.5,2,2,2,0.0183,0.0183,1,1234,1,0
2,1,1,2,0.0183,0.0183,1,1234,1,0
1,1,1,2,0.0183,0.0183,1,1234,1,0
0.5,1,1,2,0.0183,0.0183,1,1234,1,0
2,2,1,2,0.0183,0.0183,1,1234,1,0
1,2,1,2,0.0183,0.0183,1,1234,1,0
0.5,2,1,2,0.0183,0.0183,1,1234,1,0
2,1,0.5,2,0.0183,0.0183,1,1234,1,0
1,1,0.5,2,0.0183,0.0183,1,1234,1,0
0.5,1,0.5,2,0.0183,0.0183,1,1234,1,0
2,2,0.5,2,0.0183,0.0183,1,1234,1,0
1,2,0.5,2,0.0183,0.0183,1,1234,1,0
0.5,2,0.5,2,0.0183,0.0183,1,1234,1,0
